epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1252.46,0.31782,0.63136,1.13875,0.90285,0.91414,0.94454,0.87072,0.43952,0.51615,0.95028,0.00054625,0.00054625,0.00054625
57,1562.36,0.31925,0.63375,1.10323,0.93418,0.90107,0.93564,0.85133,0.4693,0.55284,0.96234,0.000538,0.000538,0.000538
58,1867.62,0.31372,0.59333,1.11207,0.93094,0.88984,0.94512,0.85022,0.49644,0.50084,0.9761,0.00052975,0.00052975,0.00052975
59,2173.42,0.30882,0.59336,1.10953,0.90988,0.8723,0.93355,0.85312,0.43749,0.51355,0.91715,0.0005215,0.0005215,0.0005215
60,2481.56,0.30609,0.59175,1.42785,0.95537,0.88777,0.95369,0.87562,0.44423,0.44839,0.92268,0.00051325,0.00051325,0.00051325
61,2784.8,0.31628,0.62681,1.14498,0.93725,0.88801,0.94548,0.88042,0.42154,0.47323,0.91565,0.000505,0.000505,0.000505
62,3118.14,0.30615,0.57255,1.14074,0.91907,0.91886,0.94947,0.869,0.44369,0.47375,0.91959,0.00049675,0.00049675,0.00049675
63,3572.92,0.3187,0.57755,1.1386,0.95681,0.86706,0.94786,0.87752,0.45361,0.52591,0.94436,0.0004885,0.0004885,0.0004885
64,4031.73,0.31556,0.58026,1.10881,0.95717,0.89659,0.95511,0.88266,0.41849,0.45819,0.91328,0.00048025,0.00048025,0.00048025
65,4442.12,0.31491,0.58607,1.13975,0.93501,0.89497,0.9488,0.88812,0.37815,0.44204,0.87607,0.000472,0.000472,0.000472
66,4742.09,0.30417,0.57406,1.11933,0.94033,0.88868,0.9552,0.88847,0.40435,0.47334,0.90098,0.00046375,0.00046375,0.00046375
67,5118.6,0.31121,0.56326,1.1309,0.91943,0.8891,0.94737,0.87778,0.44631,0.48935,0.91392,0.0004555,0.0004555,0.0004555
68,5506.57,0.31529,0.55168,1.13138,0.94265,0.90269,0.95407,0.87047,0.50568,0.54582,0.94966,0.00044725,0.00044725,0.00044725
69,5890.56,0.2849,0.53618,1.08883,0.89878,0.91071,0.95052,0.88124,0.43847,0.45978,0.92851,0.000439,0.000439,0.000439
70,6275.68,0.30011,0.5527,1.09914,0.90594,0.90795,0.9415,0.87071,0.42221,0.50503,0.9105,0.00043075,0.00043075,0.00043075
71,6622.06,0.31566,0.59165,1.1208,0.93794,0.89162,0.95206,0.88144,0.42852,0.47057,0.91351,0.0004225,0.0004225,0.0004225
